movie_id,production
m522,Ciby 2000
m522,Jan Chapman Productions
m523,Warner Bros. Pictures
m524,Produzioni De Sica (PDS)
m525,DreamWorks Animation
m525,Pacific Data Images (PDI)
m526,20th Century Fox
m527,New Line Cinema
m528,New Line Cinema
m529,Walt Disney
m530,Universal Pictures
m531,20th Century Fox
m532,Metrofilm
m533,20th Century Fox presents a New Regency production
m534,HandMade Films
m535,Paramount Vantage
m536,Pixar Animation Studios
m536,Walt Disney Pictures
m537,TriStar Pictures
m537,Columbia Pictures
m537,Bedford Falls Productions
m538,New Line Cinema
m538,Flower Films
m539,MGM
m540,RKO
m540,Mercury Theatre Productions
m541,Guangxi Film Studios. Columbia Pictures released
m542,Walt Disney Pictures
m542,Jerry Bruckheimer Films
m543,Fox Searchlight Pictures
m543,Mandate Pictures
m543,Mr. Mudd
m544,Universal Pictures
